canonical_name,blended_rating,n_sources,sp_overall,sp_offense,sp_defense,sp_st,sagarin_rating,sagarin_predictor,massey_rating,z_sp,z_sag,z_mas,z_blended
Texas State,2.3,1,2.3,36.6,34.6,0.4,NA,NA,NA,0.10869080787754248,NA,NA,0.10869080787754248
Fresno State,1.8,1,1.8,23,21.1,-0.1,NA,NA,NA,0.07072269459393797,NA,NA,0.07072269459393797
Kentucky,1.8,1,1.8,25.5,23.7,0,NA,NA,NA,0.07072269459393797,NA,NA,0.07072269459393797
Hawaii,1.7,1,1.7,27.3,27.3,1.7,NA,NA,NA,0.06312907193721706,NA,NA,0.06312907193721706
Western Kentucky,1.6,1,1.6,28.8,28.6,1.4,NA,NA,NA,0.05553544928049617,NA,NA,0.05553544928049617
Minnesota,1.5,1,1.5,23.8,20.8,-1.6,NA,NA,NA,0.04794182662377526,NA,NA,0.04794182662377526
Baylor,1.4,1,1.4,32.8,33.3,1.9,NA,NA,NA,0.04034820396705435,NA,NA,0.04034820396705435
Rutgers,1,1,1,31.6,30.7,0.2,NA,NA,NA,0.009973713340170741,NA,NA,0.009973713340170741
New Mexico,0.9,1,0.9,25.4,26.1,1.6,NA,NA,NA,0.002380090683449839,NA,NA,0.002380090683449839
Army,0.8,1,0.8,24.7,24.1,0.3,NA,NA,NA,-0.005213531973271063,NA,NA,-0.005213531973271063
Maryland,0.6,1,0.6,24.4,24.7,0.9,NA,NA,NA,-0.020400777286712874,NA,NA,-0.020400777286712874
UCF,-1.2000000000000002,1,-1.2,23.2,24,-0.5,NA,NA,NA,-0.15708598510768915,NA,NA,-0.15708598510768915
Louisiana Tech,-1.2999999999999998,1,-1.3,25.6,27,0.1,NA,NA,NA,-0.16467960776441004,NA,NA,-0.16467960776441004
Western Michigan,-1.4,1,-1.4,21.7,21.8,-1.3,NA,NA,NA,-0.17227323042113094,NA,NA,-0.17227323042113094
Utah State,-3.0999999999999996,1,-3.1,29.5,31.2,-1.4,NA,NA,NA,-0.3013648155853863,NA,NA,-0.3013648155853863
Cal,-3.2,1,-3.2,25.6,27.9,-0.9,NA,NA,NA,-0.3089584382421072,NA,NA,-0.3089584382421072
Air Force,-3.2,1,-3.2,28.3,31.7,0.2,NA,NA,NA,-0.3089584382421072,NA,NA,-0.3089584382421072
Michigan State,-3.3999999999999995,1,-3.4,26.6,28.7,-1.3,NA,NA,NA,-0.32414568355554896,NA,NA,-0.32414568355554896
Miami (OH),-3.3999999999999995,1,-3.4,19.3,24.2,1.5,NA,NA,NA,-0.32414568355554896,NA,NA,-0.32414568355554896
Ohio,-4,1,-4,23.2,25.2,-1.9,NA,NA,NA,-0.36970741949587443,NA,NA,-0.36970741949587443
Wisconsin,-4.4,1,-4.4,17.4,20.9,-0.9,NA,NA,NA,-0.40008191012275807,NA,NA,-0.40008191012275807
Marshall,-4.5,1,-4.5,29.6,34.8,0.7,NA,NA,NA,-0.407675532779479,NA,NA,-0.407675532779479
Troy,-4.8,1,-4.8,23.6,29,0.7,NA,NA,NA,-0.43045640074964164,NA,NA,-0.43045640074964164
Temple,-5.1,1,-5.1,27.1,33.2,1,NA,NA,NA,-0.45323726871980435,NA,NA,-0.45323726871980435
Kennesaw State,-5.4,1,-5.4,26.4,30.2,-1.7,NA,NA,NA,-0.4760181366899671,NA,NA,-0.4760181366899671
Purdue,-6.1,1,-6.1,21.9,29.9,1.8,NA,NA,NA,-0.5291734952870134,NA,NA,-0.5291734952870134
North Carolina,-6.6,1,-6.6,17.2,25,1.2,NA,NA,NA,-0.5671416085706179,NA,NA,-0.5671416085706179
