game_id,week,season_type,neutral_site,canonical_away,canonical_home,home_conf,away_conf,conf_tier,conf_tier_label,home_score,away_score,actual_margin,home_sp,away_sp,rating_diff,effective_hfa,ppa_diff,success_rate_diff,ppa_adj,success_adj,ppa_active,proj_spread_sp,proj_spread,pred_home_margin_sp,pred_home_margin,pred_error_sp,abs_error_sp,pred_error,abs_error,posted_spread,model_edge,bet_qualifies,bet_side,bet_covered
401752673,1,regular,FALSE,Mississippi State,Southern Miss,Sun Belt,SEC,2,G5,17,34,-17,-25.6,-4.1,-21.5,3,-0.09,NA,-0.44999999999999996,0,TRUE,18.5,18.95,-18.5,-18.95,-1.5,1.5,-1.9499999999999993,1.9499999999999993,11.5,-7.449999999999999,TRUE,away,TRUE
401752676,1,regular,TRUE,Syracuse,Tennessee,SEC,ACC,1,P4 (SEC/Big Ten/Big 12/ACC),45,26,19,22,5.5,16.5,0,0.19,NA,0.95,0,TRUE,-16.5,-17.45,16.5,17.45,-2.5,2.5,-1.5500000000000007,1.5500000000000007,-13.5,3.9499999999999993,FALSE,NA,NA
401752670,1,regular,FALSE,Toledo,Kentucky,SEC,Mid-American,1,P4 (SEC/Big Ten/Big 12/ACC),24,16,8,5.5,-2.5,8,3,0.16,NA,0.8,0,TRUE,-11,-11.8,11,11.8,3,3,3.8000000000000007,3.8000000000000007,-10,1.8000000000000007,FALSE,NA,NA
401752806,1,regular,FALSE,Old Dominion,Indiana,Big Ten,Sun Belt,1,P4 (SEC/Big Ten/Big 12/ACC),27,14,13,20.1,-6,26.1,2.5,0.07999999999999999,NA,0.3999999999999999,0,TRUE,-28.6,-29,28.6,29,15.600000000000001,15.600000000000001,16,16,-23.5,5.5,TRUE,home,FALSE
401762456,1,regular,FALSE,Temple,UMass,Mid-American,American Athletic,3,Independent,10,42,-32,-21.9,-20.3,-1.5999999999999979,2,-0.21000000000000002,NA,-1.05,0,TRUE,-0.40000000000000213,0.6499999999999977,0.40000000000000213,-0.6499999999999977,32.400000000000006,32.400000000000006,31.35,31.35,3,2.3500000000000023,FALSE,NA,NA
401752665,1,regular,FALSE,Alabama,Florida State,ACC,SEC,1,P4 (SEC/Big Ten/Big 12/ACC),31,17,14,-3.2,25,-28.2,4,0.16,NA,0.8,0,TRUE,24.2,23.4,-24.2,-23.4,-38.2,38.2,-37.4,37.4,13.5,-9.899999999999999,TRUE,away,FALSE
401752807,1,regular,FALSE,Nevada,Penn State,Big Ten,Mountain West,1,P4 (SEC/Big Ten/Big 12/ACC),46,11,35,24.6,-15.2,39.8,4,0.13,NA,0.65,0,TRUE,-43.8,-44.449999999999996,43.8,44.449999999999996,8.799999999999997,8.799999999999997,9.449999999999996,9.449999999999996,-45.5,-1.0500000000000043,FALSE,NA,NA
401752669,1,regular,FALSE,Marshall,Georgia,SEC,Sun Belt,1,P4 (SEC/Big Ten/Big 12/ACC),45,7,38,24.3,3.1,21.2,4.5,0.020000000000000018,NA,0.10000000000000009,0,TRUE,-25.7,-25.8,25.7,25.8,-12.3,12.3,-12.2,12.2,-39.5,-13.7,FALSE,NA,NA
401754616,1,regular,FALSE,Coastal Carolina,Virginia,ACC,Sun Belt,1,P4 (SEC/Big Ten/Big 12/ACC),48,7,41,-5.1,-6.9,1.8000000000000007,2.5,-0.04000000000000001,NA,-0.20000000000000004,0,TRUE,-4.300000000000001,-4.1000000000000005,4.300000000000001,4.1000000000000005,-36.7,36.7,-36.9,36.9,-12.5,-8.399999999999999,TRUE,away,FALSE
401752678,1,regular,FALSE,UTSA,Texas A&M,SEC,American Athletic,1,P4 (SEC/Big Ten/Big 12/ACC),42,24,18,17,2.2,14.8,4.5,-0.04000000000000001,NA,-0.20000000000000004,0,TRUE,-19.3,-19.1,19.3,19.1,1.3000000000000007,1.3000000000000007,1.1000000000000014,1.1000000000000014,-21.5,-2.3999999999999986,FALSE,NA,NA
